report_year,agency_code,agency_jurisdiction,population,violent_crimes,months_reported,crimes_percapita
1976,TN01901,"Nashville, TN",445979,2831,12,634.78
1976,NY02900,"Nassau County, NY",1053093,887,12,84.23
1976,LANPD00,"New Orleans, LA",557327,4810,12,863.05
1976,NY03030,"New York City, NY",7530493,134153,12,1781.46
1976,NJNPD00,"Newark, NJ",367886,6565,12,1784.52
1976,CA00109,"Oakland, CA",333100,5514,12,1655.36
1976,OK05506,"Oklahoma City, OK",376522,2360,12,626.79
1976,NB02802,"Omaha, NE",388592,2008,12,516.74
1976,FL04804,"Orlando, FL",116848,1118,12,956.8
1976,PAPEP00,"Philadelphia, PA",1916665,13113,12,684.16
1976,AZ00723,"Phoenix, AZ",669005,3856,12,576.38
1976,PAPPD00,"Pittsburgh, PA",487106,4621,12,948.66
1976,OR02602,"Portland, OR",379818,4304,12,1133.17
1976,MD01721,"Prince George's County, MD",578318,3869,12,669.01
1976,NC09201,"Raleigh, NC",148093,531,12,358.56
1976,CA03404,"Sacramento, CA",260700,2799,12,1073.65
1976,UT01803,"Salt Lake City, UT",175400,959,12,546.75
1976,TXSPD00,"San Antonio, TX",753069,3285,12,436.22
1976,CA03711,"San Diego, CA",773400,4118,12,532.45
1976,CA03801,"San Francisco, CA",665000,10756,12,1617.44
1976,CA04313,"San Jose, CA",557700,2523,12,452.39
1976,WASPD00,"Seattle, WA",503500,4128,12,819.86
1976,MOSPD00,"St. Louis, MO",534206,9574,12,1792.19
1976,NY05101,"Suffolk County, NY",1177192,1810,12,153.76
1976,FL02902,"Tampa, FL",274568,2935,12,1068.95
1976,AZ01003,"Tucson, AZ",340927,1464,12,429.42
1976,OK07205,"Tulsa, OK",349516,1747,12,499.83
1976,VA12800,"Virginia Beach, VA",216176,481,12,222.5
1976,DCMPD00,"Washington, DC",702000,10399,12,1481.34
1976,KS08703,"Wichita, KS",256455,1114,12,434.38
1976,,United States,,1004210,,467.8
1977,NM00101,"Albuquerque, NM",292341,2390,12,817.54
1977,TX22001,"Arlington, TX",112994,389,12,344.27
1977,GAAPD00,"Atlanta, GA",440300,7595,12,1724.96
1977,CO00101,"Aurora, CO",137200,585,12,426.38
1977,TX22701,"Austin, TX",321900,1260,12,391.43
1977,MD00301,"Baltimore County, MD",643363,4010,12,623.29
1977,MDBPD00,"Baltimore, MD",827494,14283,12,1726.05
1977,MA01301,"Boston, MA",619321,9422,12,1521.34
1977,NY01401,"Buffalo, NY",415352,3945,12,949.8
1977,NC06001,"Charlotte, NC",262314,2245,12,855.84
1977,ILCPD00,"Chicago, IL",3086806,28873,12,935.37
1977,OHCIP00,"Cincinnati, OH",423671,3439,12,811.71
1977,OHCLP00,"Cleveland, OH",638793,9421,12,1474.81
1977,OHCOP00,"Columbus, OH",568800,3238,12,569.27
1977,TXDPD00,"Dallas, TX",873700,8899,12,1018.54
1977,CODPD00,"Denver, CO",520200,5032,12,967.32
1977,MI82349,"Detroit, MI",1316352,24070,12,1828.54
1977,TX07102,"El Paso, TX",386000,1560,12,404.15
1977,VA02901,"Fairfax County, VA",517610,841,12,162.48
1977,TX22012,"Fort Worth, TX",383028,2561,12,668.62
1977,CA01005,"Fresno, CA",182629,1673,12,916.06
1977,HI00200,"Honolulu, HI",721983,1660,12,229.92
1977,TXHPD00,"Houston, TX",1613303,9304,12,576.71
1977,INIPD00,"Indianapolis, IN",509000,3785,12,743.61
1977,FL01602,"Jacksonville, FL",528698,4171,12,788.92
1977,MOKPD00,"Kansas City, MO",492055,5616,12,1141.34
1977,NV00201,"Las Vegas, NV",279791,2729,12,975.37
1977,CA01941,"Long Beach, CA",346662,3391,12,978.19
1977,CA01900,"Los Angeles County, CA",1040180,10589,12,1018
1977,CA01942,"Los Angeles, CA",2785393,33676,12,1209.02
1977,KY05680,"Louisville, KY",,,,
1977,TNMPD00,"Memphis, TN",667150,5231,12,784.08
1977,AZ00717,"Mesa, AZ",116400,385,12,330.76
1977,FL01300,"Miami-Dade County, FL",657954,7204,12,1094.91
1977,FL01306,"Miami, FL",333713,5346,12,1601.98
1977,WIMPD00,"Milwaukee, WI",640489,2535,12,395.79
1977,MN02711,"Minneapolis, MN",390294,3130,12,801.96
1977,MD01604,"Montgomery County, MD",491003,916,12,186.56
1977,TN01901,"Nashville, TN",456589,2957,12,647.63
1977,NY02900,"Nassau County, NY",1044946,1058,12,101.25
1977,LANPD00,"New Orleans, LA",587776,5947,12,1011.78
1977,NY03030,"New York City, NY",7481613,121916,12,1629.54
1977,NJNPD00,"Newark, NJ",351412,6175,12,1757.2
1977,CA00109,"Oakland, CA",339264,5764,12,1698.97
1977,OK05506,"Oklahoma City, OK",373570,2695,12,721.42
1977,NB02802,"Omaha, NE",367281,1918,12,522.22
1977,FL04804,"Orlando, FL",118374,1143,12,965.58
1977,PAPEP00,"Philadelphia, PA",1897706,12047,12,634.82
1977,AZ00723,"Phoenix, AZ",682200,4295,12,629.58
1977,PAPPD00,"Pittsburgh, PA",482413,4572,12,947.74
1977,OR02602,"Portland, OR",385230,3973,12,1031.33
1977,MD01721,"Prince George's County, MD",550201,3724,12,676.84
1977,NC09201,"Raleigh, NC",152840,571,12,373.59
1977,CA03404,"Sacramento, CA",265220,2915,12,1099.09
1977,UT01803,"Salt Lake City, UT",180122,1064,12,590.71
1977,TXSPD00,"San Antonio, TX",764217,3755,12,491.35
1977,CA03711,"San Diego, CA",788621,4414,12,559.71
1977,CA03801,"San Francisco, CA",676625,9367,12,1384.37
1977,CA04313,"San Jose, CA",568303,2670,12,469.82
1977,WASPD00,"Seattle, WA",500000,4156,12,831.2
1977,MOSPD00,"St. Louis, MO",512059,9726,12,1899.39
1977,NY05101,"Suffolk County, NY",1140882,2042,12,178.98
1977,FL02902,"Tampa, FL",264848,3194,12,1205.97
1977,AZ01003,"Tucson, AZ",306500,1578,12,514.85
1977,OK07205,"Tulsa, OK",352674,1850,12,524.56
1977,VA12800,"Virginia Beach, VA",235324,463,12,196.75
1977,DCMPD00,"Washington, DC",690000,9843,12,1426.52
1977,KS08703,"Wichita, KS",261732,1397,12,533.75
1977,,United States,,1029580,,475.9
1978,NM00101,"Albuquerque, NM",291834,2434,12,834.04
1978,TX22001,"Arlington, TX",121750,450,12,369.61
1978,GAAPD00,"Atlanta, GA",456000,8845,12,1939.69
1978,CO00101,"Aurora, CO",131499,831,12,631.94
1978,TX22701,"Austin, TX",331557,1413,12,426.17
1978,MD00301,"Baltimore County, MD",641120,4600,12,717.49
1978,MDBPD00,"Baltimore, MD",781730,14659,12,1875.2
1978,MA01301,"Boston, MA",616225,10035,12,1628.46
1978,NY01401,"Buffalo, NY",391695,3181,12,812.11
1978,NC06001,"Charlotte, NC",309101,2435,12,787.77
1978,ILCPD00,"Chicago, IL",3086699,27686,12,896.95
1978,OHCIP00,"Cincinnati, OH",405324,3303,12,814.9
1978,OHCLP00,"Cleveland, OH",614512,9697,12,1578
1978,OHCOP00,"Columbus, OH",578338,3353,12,579.76
1978,TXDPD00,"Dallas, TX",871832,9884,12,1133.7
1978,CODPD00,"Denver, CO",485547,4877,12,1004.43
1978,MI82349,"Detroit, MI",1294359,21602,12,1668.93
1978,TX07102,"El Paso, TX",399000,1490,12,373.43
1978,VA02901,"Fairfax County, VA",522890,917,12,175.37
1978,TX22012,"Fort Worth, TX",375860,2670,12,710.37
1978,CA01005,"Fresno, CA",194774,1997,12,1025.29
1978,HI00200,"Honolulu, HI",725259,2044,12,281.83
1978,TXHPD00,"Houston, TX",1486489,10852,12,730.04
1978,INIPD00,"Indianapolis, IN",513271,3733,12,727.3
1978,FL01602,"Jacksonville, FL",523199,4368,12,834.86
1978,MOKPD00,"Kansas City, MO",463931,5029,12,1084
1978,NV00201,"Las Vegas, NV",288865,2886,12,999.08
1978,CA01941,"Long Beach, CA",344154,3688,12,1071.61
1978,CA01900,"Los Angeles County, CA",972663,10766,12,1106.86
1978,CA01942,"Los Angeles, CA",2787525,36797,12,1320.06
1978,KY05680,"Louisville, KY",,,,
1978,TNMPD00,"Memphis, TN",683112,5412,12,792.26
1978,AZ00717,"Mesa, AZ",124937,493,12,394.6
1978,FL01300,"Miami-Dade County, FL",669511,8437,12,1260.17
1978,FL01306,"Miami, FL",330060,6272,12,1900.26
1978,WIMPD00,"Milwaukee, WI",623657,2438,12,390.92
1978,MN02711,"Minneapolis, MN",374800,3098,12,826.57
1978,MD01604,"Montgomery County, MD",525247,1138,12,216.66
1978,TN01901,"Nashville, TN",452440,3153,12,696.89
1978,NY02900,"Nassau County, NY",1100131,1005,12,91.35
1978,LANPD00,"New Orleans, LA",559160,7635,12,1365.44
1978,NY03030,"New York City, NY",7242886,122685,12,1693.87
1978,NJNPD00,"Newark, NJ",325679,6843,12,2101.15
1978,CA00109,"Oakland, CA",327756,5374,12,1639.63
1978,OK05506,"Oklahoma City, OK",381184,3607,12,946.26
1978,NB02802,"Omaha, NE",364446,1856,12,509.27
1978,FL04804,"Orlando, FL",118393,1620,12,1368.32
1978,PAPEP00,"Philadelphia, PA",1885533,12369,12,655.99
1978,AZ00723,"Phoenix, AZ",696763,5401,12,775.16
1978,PAPPD00,"Pittsburgh, PA",479443,4818,12,1004.92
1978,OR02602,"Portland, OR",362497,4017,12,1108.15
1978,MD01721,"Prince George's County, MD",554087,3967,12,715.95
1978,NC09201,"Raleigh, NC",150124,645,12,429.64
1978,CA03404,"Sacramento, CA",261465,3198,12,1223.11
1978,UT01803,"Salt Lake City, UT",185000,1062,12,574.05
1978,TXSPD00,"San Antonio, TX",816780,3446,12,421.9
1978,CA03711,"San Diego, CA",797293,4520,12,566.92
1978,CA03801,"San Francisco, CA",658611,10509,12,1595.63
1978,CA04313,"San Jose, CA",587621,2755,12,468.84
1978,WASPD00,"Seattle, WA",489961,4900,12,1000.08
1978,MOSPD00,"St. Louis, MO",525123,10095,12,1922.41
1978,NY05101,"Suffolk County, NY",1157014,2523,12,218.06
1978,FL02902,"Tampa, FL",263175,3510,12,1333.71
1978,AZ01003,"Tucson, AZ",309200,1654,12,534.93
1978,OK07205,"Tulsa, OK",356000,2160,12,606.74
1978,VA12800,"Virginia Beach, VA",240654,465,12,193.22
1978,DCMPD00,"Washington, DC",674000,9515,12,1411.72
1978,KS08703,"Wichita, KS",260642,1231,12,472.3
1978,,United States,,1085550,,497.8
1979,NM00101,"Albuquerque, NM",302120,2679,12,886.73
1979,TX22001,"Arlington, TX",130265,626,12,480.56
1979,GAAPD00,"Atlanta, GA",423103,10715,12,2532.48
1979,CO00101,"Aurora, CO",134224,1033,12,769.61
1979,TX22701,"Austin, TX",337727,1495,12,442.67
1979,MD00301,"Baltimore County, MD",639872,5041,12,787.81
1979,MDBPD00,"Baltimore, MD",790901,15523,12,1962.7
1979,MA01301,"Boston, MA",599582,11392,12,1899.99
1979,NY01401,"Buffalo, NY",383915,3857,12,1004.65
1979,NC06001,"Charlotte, NC",300569,2485,12,826.77
1979,ILCPD00,"Chicago, IL",3060801,27807,12,908.49
1979,OHCIP00,"Cincinnati, OH",404661,3808,12,941.03
1979,OHCLP00,"Cleveland, OH",601381,9736,12,1618.94
1979,OHCOP00,"Columbus, OH",534052,4242,12,794.3
1979,TXDPD00,"Dallas, TX",882225,11453,12,1298.19
1979,CODPD00,"Denver, CO",486407,5118,12,1052.21
1979,MI82349,"Detroit, MI",1258924,21021,12,1669.76
1979,TX07102,"El Paso, TX",413244,2245,12,543.26
1979,VA02901,"Fairfax County, VA",519384,882,12,169.82
1979,TX22012,"Fort Worth, TX",384582,3799,12,987.83
1979,CA01005,"Fresno, CA",194849,1976,12,1014.12
1979,HI00200,"Honolulu, HI",734368,2196,12,299.03
1979,TXHPD00,"Houston, TX",1619644,14216,12,877.72
1979,INIPD00,"Indianapolis, IN",513877,4178,12,813.04
1979,FL01602,"Jacksonville, FL",546419,4903,12,897.3
1979,MOKPD00,"Kansas City, MO",462914,5942,12,1283.61
1979,NV00201,"Las Vegas, NV",324220,3210,12,990.07
1979,CA01941,"Long Beach, CA",349158,3990,12,1142.75
1979,CA01900,"Los Angeles County, CA",911864,11529,12,1264.33
1979,CA01942,"Los Angeles, CA",2863412,43372,12,1514.7
1979,KY05680,"Louisville, KY",,,,
1979,TNMPD00,"Memphis, TN",682110,5785,12,848.1
1979,AZ00717,"Mesa, AZ",115498,755,12,653.69
1979,FL01300,"Miami-Dade County, FL",677573,9508,12,1403.24
1979,FL01306,"Miami, FL",362840,6825,12,1880.99
1979,WIMPD00,"Milwaukee, WI",645097,3039,12,471.09
1979,MN02711,"Minneapolis, MN",363899,3899,12,1071.45
1979,MD01604,"Montgomery County, MD",522756,1241,12,237.4
1979,TN01901,"Nashville, TN",444443,3251,12,731.48
