report_year,agency_code,agency_jurisdiction,population,assaults,months_reported,assaults_percapita
1976,LANPD00,"New Orleans, LA",557327,1776,12,318.66
1976,NY03030,"New York City, NY",7530493,42948,12,570.32
1976,NJNPD00,"Newark, NJ",367886,2309,12,627.64
1976,CA00109,"Oakland, CA",333100,2213,12,664.37
1976,OK05506,"Oklahoma City, OK",376522,1326,12,352.17
1976,NB02802,"Omaha, NE",388592,1008,12,259.4
1976,FL04804,"Orlando, FL",116848,676,12,578.53
1976,PAPEP00,"Philadelphia, PA",1916665,4225,12,220.43
1976,AZ00723,"Phoenix, AZ",669005,2078,12,310.61
1976,PAPPD00,"Pittsburgh, PA",487106,1853,12,380.41
1976,OR02602,"Portland, OR",379818,2030,12,534.47
1976,MD01721,"Prince George's County, MD",578318,1611,12,278.57
1976,NC09201,"Raleigh, NC",148093,353,12,238.36
1976,CA03404,"Sacramento, CA",260700,1368,12,524.74
1976,UT01803,"Salt Lake City, UT",175400,364,12,207.53
1976,TXSPD00,"San Antonio, TX",753069,1641,12,217.91
1976,CA03711,"San Diego, CA",773400,1555,12,201.06
1976,CA03801,"San Francisco, CA",665000,3379,12,508.12
1976,CA04313,"San Jose, CA",557700,1223,12,219.29
1976,WASPD00,"Seattle, WA",503500,1601,12,317.97
1976,MOSPD00,"St. Louis, MO",534206,3600,12,673.9
1976,NY05101,"Suffolk County, NY",1177192,671,12,57
1976,FL02902,"Tampa, FL",274568,1706,12,621.34
1976,AZ01003,"Tucson, AZ",340927,750,12,219.99
1976,OK07205,"Tulsa, OK",349516,1197,12,342.47
1976,VA12800,"Virginia Beach, VA",216176,253,12,117.03
1976,DCMPD00,"Washington, DC",702000,2659,12,378.77
1976,KS08703,"Wichita, KS",256455,470,12,183.27
1976,,United States,,,,
1977,NM00101,"Albuquerque, NM",292341,1398,12,478.21
1977,TX22001,"Arlington, TX",112994,266,12,235.41
1977,GAAPD00,"Atlanta, GA",440300,3593,12,816.03
1977,CO00101,"Aurora, CO",137200,374,12,272.59
1977,TX22701,"Austin, TX",321900,528,12,164.03
1977,MD00301,"Baltimore County, MD",643363,3109,12,483.24
1977,MDBPD00,"Baltimore, MD",827494,6050,12,731.12
1977,MA01301,"Boston, MA",619321,3284,12,530.26
1977,NY01401,"Buffalo, NY",415352,1842,12,443.48
1977,NC06001,"Charlotte, NC",262314,1465,12,558.49
1977,ILCPD00,"Chicago, IL",3086806,10311,12,334.03
1977,OHCIP00,"Cincinnati, OH",423671,1451,12,342.48
1977,OHCLP00,"Cleveland, OH",638793,2198,12,344.09
1977,OHCOP00,"Columbus, OH",568800,1086,12,190.93
1977,TXDPD00,"Dallas, TX",873700,4401,12,503.72
1977,CODPD00,"Denver, CO",520200,2005,12,385.43
1977,MI82349,"Detroit, MI",1316352,6482,12,492.42
1977,TX07102,"El Paso, TX",386000,597,12,154.66
1977,VA02901,"Fairfax County, VA",517610,320,12,61.82
1977,TX22012,"Fort Worth, TX",383028,1119,12,292.15
1977,CA01005,"Fresno, CA",182629,592,12,324.15
1977,HI00200,"Honolulu, HI",721983,357,12,49.45
