report_year,agency_code,agency_jurisdiction,population,robberies,months_reported,robberies_percapita
1976,NY02900,"Nassau County, NY",1053093,659,12,62.58
1976,LANPD00,"New Orleans, LA",557327,2600,12,466.51
1976,NY03030,"New York City, NY",7530493,86183,12,1144.45
1976,NJNPD00,"Newark, NJ",367886,3834,12,1042.17
1976,CA00109,"Oakland, CA",333100,2894,12,868.81
1976,OK05506,"Oklahoma City, OK",376522,770,12,204.5
1976,NB02802,"Omaha, NE",388592,788,12,202.78
1976,FL04804,"Orlando, FL",116848,327,12,279.85
1976,PAPEP00,"Philadelphia, PA",1916665,7786,12,406.23
1976,AZ00723,"Phoenix, AZ",669005,1485,12,221.97
1976,PAPPD00,"Pittsburgh, PA",487106,2419,12,496.61
1976,OR02602,"Portland, OR",379818,1913,12,503.66
1976,MD01721,"Prince George's County, MD",578318,1941,12,335.63
1976,NC09201,"Raleigh, NC",148093,138,12,93.18
1976,CA03404,"Sacramento, CA",260700,1187,12,455.31
1976,UT01803,"Salt Lake City, UT",175400,482,12,274.8
1976,TXSPD00,"San Antonio, TX",753069,1262,12,167.58
1976,CA03711,"San Diego, CA",773400,2271,12,293.64
1976,CA03801,"San Francisco, CA",665000,6628,12,996.69
1976,CA04313,"San Jose, CA",557700,967,12,173.39
1976,WASPD00,"Seattle, WA",503500,2163,12,429.59
1976,MOSPD00,"St. Louis, MO",534206,5303,12,992.69
1976,NY05101,"Suffolk County, NY",1177192,979,12,83.16
1976,FL02902,"Tampa, FL",274568,1025,12,373.31
1976,AZ01003,"Tucson, AZ",340927,554,12,162.5
1976,OK07205,"Tulsa, OK",349516,392,12,112.16
1976,VA12800,"Virginia Beach, VA",216176,157,12,72.63
1976,DCMPD00,"Washington, DC",702000,7044,12,1003.42
1976,KS08703,"Wichita, KS",256455,514,12,200.43
1976,,United States,,,,
1977,NM00101,"Albuquerque, NM",292341,754,12,257.92
1977,TX22001,"Arlington, TX",112994,85,12,75.23
1977,GAAPD00,"Atlanta, GA",440300,3354,12,761.75
1977,CO00101,"Aurora, CO",137200,166,12,120.99
